method,upstream_repo,upstream_commit
wanda,https://github.com/locuslab/wanda.git,8e8fc87b4a2f9955baa7e76e64d5fce7fa8724a6
sparsegpt,https://github.com/IST-DASLab/sparsegpt.git,147d2159dc4f3e9f73e47b32c04d7b3708f44436
llm_pruner,https://github.com/horseee/LLM-Pruner.git,128a07d977f9b205d60ab14cfbc6a78f8a8e39d2
dsnot,https://github.com/zyxxmu/DSnoT.git,26162b71aef5c8fee7775d5a32546d7243c6cb88
maskllm,https://github.com/NVlabs/MaskLLM.git,50e50de8dc833714bb70a951d0ae37a5e79bcc7b
flap,https://github.com/CASIA-LMC-Lab/FLAP.git,3bb57db3449dd2fa04a5c2192de80e87e33be2b1
slicegpt,https://github.com/microsoft/TransformerCompression.git,6b12cdee6ad51791d7c776b3a046bc408b9e77e9
laco,https://github.com/yangyifei729/LaCo.git,84835877f918dc972df1a1375e09209551e02f3d
owl,https://github.com/luuyin/OWL.git,dddb7a4bffe27c73e4c8cf692b3a5e36401532c8
pruner_zero,https://github.com/pprp/Pruner-Zero.git,db70134ed7d4c521a57060fd698f353d04268429
flab_pruner,https://github.com/Flab-Pruner/Flab-Pruner.git,e35e7fc4560369f993d736df1ef5429a74ca6983
livecodebench,https://github.com/livecodebench/livecodebench.git,28fef95ea8c9f7a547c8329f2cd3d32b92c1fa24
