"legacy_relative_artifact","size_bytes","git_policy","location_note"
"legacy_results_raw/flabpruner_qwen25c15b_official_keep80_20260730_015031/flabpruner_keep80/pruned_model/model.safetensors","2753386720","not_committed_model_or_cache","Preserved in WSL pre-restructure worktree and backup large-file manifest"
"legacy_results_raw/flabpruner_qwen25c15b_official_keep80_20260730_015031/flabpruner_keep80_merged_v2/model.safetensors","2371049200","not_committed_model_or_cache","Preserved in WSL pre-restructure worktree and backup large-file manifest"
"legacy_results_raw/flabpruner_qwen25c15b_official_keep80_20260730_015031/flabpruner_keep80_v2/pruned_model/model.safetensors","2760005576","not_committed_model_or_cache","Preserved in WSL pre-restructure worktree and backup large-file manifest"
"legacy_results_raw/flabpruner_qwen25c3b_official_keep80_gpu_20260728_172449/flabpruner_keep80/pruned_model/model.safetensors","5482563264","not_committed_model_or_cache","Preserved in WSL pre-restructure worktree and backup large-file manifest"
"legacy_results_raw/flabpruner_qwen25c3b_official_keep80_gpu_20260728_172449/flabpruner_keep80_lora/lora_adapter/adapter_model.safetensors","53740368","not_committed_model_or_cache","Preserved in WSL pre-restructure worktree and backup large-file manifest"
"legacy_results_raw/flabpruner_qwen25c3b_official_keep80_gpu_20260728_172449/flabpruner_keep80_merged/model.safetensors","4938024464","not_committed_model_or_cache","Preserved in WSL pre-restructure worktree and backup large-file manifest"
"legacy_results_raw/llmpruner_qwen25c15b_official_keep80_gpu_20260730_105340/llmpruner_keep80_v3/pruned_model/model.safetensors","2532516120","not_committed_model_or_cache","Preserved in WSL pre-restructure worktree and backup large-file manifest"
"legacy_results_raw/pilot_keep80_official_all_20260727_174732/flabpruner_keep80/pruned_model/model.safetensors","4218055864","not_committed_model_or_cache","Preserved in WSL pre-restructure worktree and backup large-file manifest"
"legacy_results_raw/pilot_keep80_official_all_20260727_174732/flabpruner_keep80_merged/model.safetensors","3751308256","not_committed_model_or_cache","Preserved in WSL pre-restructure worktree and backup large-file manifest"
"legacy_results_raw/pilot_keep80_official_all_20260727_174732/llmpruner_keep80/pruned_model/model.safetensors","10612080816","not_committed_model_or_cache","Preserved in WSL pre-restructure worktree and backup large-file manifest"
"legacy_results_raw/pilot_keep80_official_all_20260727_174732/llmpruner_keep80_lora/lora_adapter/adapter_model.safetensors","53168984","not_committed_model_or_cache","Preserved in WSL pre-restructure worktree and backup large-file manifest"
"legacy_results_raw/pilot_keep80_official_all_20260727_174732/slicegpt_keep80/sliced_model/Qwen2.5-Coder-3B-Instruct_0.2.pt","6153925799","not_committed_model_or_cache","Preserved in WSL pre-restructure worktree and backup large-file manifest"
"legacy_results_raw/pilot_keep80_official_all_20260727_174732/slicegpt_keep80_lora/lora_adapter/adapter_model.safetensors","55821248","not_committed_model_or_cache","Preserved in WSL pre-restructure worktree and backup large-file manifest"
"legacy_results_raw/slicegpt_qwen25c15b_official_keep80_gpu_20260731_011001/slicegpt_keep80/sliced_model/Qwen2.5-Coder-1.5B-Instruct_0.45.pt","2696531827","not_committed_model_or_cache","Preserved in WSL pre-restructure worktree and backup large-file manifest"
