"run_id","evidence_category","path","evidence_status"
"codellama7b_4bit_probe_20260725_160453","diagnostics","results/evidence/diagnostics/codellama7b_4bit_probe_20260725_160453","present"
"codellama7b_config_probe_20260722_184306","diagnostics","results/evidence/diagnostics/codellama7b_config_probe_20260722_184306","present"
"codellama7b_snapshot_download_20260722_202939","diagnostics","results/evidence/diagnostics/codellama7b_snapshot_download_20260722_202939","present"
"existing_checkpoint_stage_audit_20260802_194533","diagnostics","results/evidence/diagnostics/existing_checkpoint_stage_audit_20260802_194533","present"
"flab_pruner_import_probe_20260718_184023","diagnostics","results/evidence/diagnostics/flab_pruner_import_probe_20260718_184023","present"
"flab_qwen3b_pruned_load_generate_check_20260721_173111","diagnostics","results/evidence/diagnostics/flab_qwen3b_pruned_load_generate_check_20260721_173111","present"
"llmpruner_codellama7b_cpu_load_probe_20260722_201244","diagnostics","results/evidence/diagnostics/llmpruner_codellama7b_cpu_load_probe_20260722_201244","present"
"llmpruner_codellama7b_cpu_load_probe_20260722_222141","diagnostics","results/evidence/diagnostics/llmpruner_codellama7b_cpu_load_probe_20260722_222141","present"
"llmpruner_codellama7b_gpu_offload_humaneval_diag_20260722_232134","diagnostics","results/evidence/diagnostics/llmpruner_codellama7b_gpu_offload_humaneval_diag_20260722_232134","present"
"llmpruner_codellama7b_light_probe_20260722_200734","diagnostics","results/evidence/diagnostics/llmpruner_codellama7b_light_probe_20260722_200734","present"
"llmpruner_codellama7b_snapshot_cpu_load_probe_20260722_222345","diagnostics","results/evidence/diagnostics/llmpruner_codellama7b_snapshot_cpu_load_probe_20260722_222345","present"
"llmpruner_official_codellama_benchguide_probe_20260725_180932","diagnostics","results/evidence/diagnostics/llmpruner_official_codellama_benchguide_probe_20260725_180932","present"
"llmpruner_official_codellama_benchguide_probe_lowgpu2_20260725_181447","diagnostics","results/evidence/diagnostics/llmpruner_official_codellama_benchguide_probe_lowgpu2_20260725_181447","present"
"qwen15b_baseline_load_generate_check_20260721_173527","diagnostics","results/evidence/diagnostics/qwen15b_baseline_load_generate_check_20260721_173527","present"
"qwen25_coder_15b_config_probe_20260718_182144","diagnostics","results/evidence/diagnostics/qwen25_coder_15b_config_probe_20260718_182144","present"
"qwen25_coder_3b_config_probe_20260718_182954","diagnostics","results/evidence/diagnostics/qwen25_coder_3b_config_probe_20260718_182954","present"
"qwen25c3b_eval_fix_verify_20260727_011108","diagnostics","results/evidence/diagnostics/qwen25c3b_eval_fix_verify_20260727_011108","present"
"qwen25c3b_eval_fix_verify_20260727_011224","diagnostics","results/evidence/diagnostics/qwen25c3b_eval_fix_verify_20260727_011224","present"
"qwen25c3b_eval_fix_verify_20260727_011417","diagnostics","results/evidence/diagnostics/qwen25c3b_eval_fix_verify_20260727_011417","present"
"qwen25c3b_eval_fix_verify_20260727_043440","diagnostics","results/evidence/diagnostics/qwen25c3b_eval_fix_verify_20260727_043440","present"
"qwen25c3b_eval_fix_verify_20260727_050755","diagnostics","results/evidence/diagnostics/qwen25c3b_eval_fix_verify_20260727_050755","present"
"qwen25c3b_humaneval_evalhalf_indentfix_max512_20260726_191852","diagnostics","results/evidence/diagnostics/qwen25c3b_humaneval_evalhalf_indentfix_max512_20260726_191852","present"
"qwen3b_baseline_load_generate_check_20260721_175920","diagnostics","results/evidence/diagnostics/qwen3b_baseline_load_generate_check_20260721_175920","present"
"slicegpt_codellama7b_adapter_probe_20260722_200041","diagnostics","results/evidence/diagnostics/slicegpt_codellama7b_adapter_probe_20260722_200041","present"
"slicegpt_qwen_adapter_audit_20260722_012640","diagnostics","results/evidence/diagnostics/slicegpt_qwen_adapter_audit_20260722_012640","present"
"create_humaneval_mbpp_smoke_splits_20260718_184456","infrastructure","results/evidence/infrastructure/create_humaneval_mbpp_smoke_splits_20260718_184456","present"
"create_lcb_swebench_smoke_splits_20260718_190255","infrastructure","results/evidence/infrastructure/create_lcb_swebench_smoke_splits_20260718_190255","present"
"env_check_20260718_173242","infrastructure","results/evidence/infrastructure/env_check_20260718_173242","present"
"import_core_method_envs_20260718_173245","infrastructure","results/evidence/infrastructure/import_core_method_envs_20260718_173245","present"
"stage1_readiness_check_20260718_184023","infrastructure","results/evidence/infrastructure/stage1_readiness_check_20260718_184023","present"
"stage1_readiness_check_20260718_184509","infrastructure","results/evidence/infrastructure/stage1_readiness_check_20260718_184509","present"
"stage1_readiness_check_20260718_193412","infrastructure","results/evidence/infrastructure/stage1_readiness_check_20260718_193412","present"
"write_qwen_model_manifests_20260718_184729","infrastructure","results/evidence/infrastructure/write_qwen_model_manifests_20260718_184729","present"
"codellama7b_4bit_r4_baseline_evalhalf_20260725_161912","r4_half","results/evidence/r4_half/codellama7b_4bit_r4_baseline_evalhalf_20260725_161912","present"
"flab_qwen25c3b_r4_benchguided_keep80_lora_merged_20260724_195006","r4_half","results/evidence/r4_half/flab_qwen25c3b_r4_benchguided_keep80_lora_merged_20260724_195006","present"
"flab_qwen25c3b_r4_benchguided_keep80_prune_20260723_192329","r4_half","results/evidence/r4_half/flab_qwen25c3b_r4_benchguided_keep80_prune_20260723_192329","present"
"flab_qwen25c3b_r4_default_keep80_lora_merged_20260725_035144","r4_half","results/evidence/r4_half/flab_qwen25c3b_r4_default_keep80_lora_merged_20260725_035144","present"
"flab_qwen25c3b_r4_default_keep80_prune_20260723_193222","r4_half","results/evidence/r4_half/flab_qwen25c3b_r4_default_keep80_prune_20260723_193222","present"
"flab_qwen25c3b_r4_lora_recovery_20260724_042157","r4_half","results/evidence/r4_half/flab_qwen25c3b_r4_lora_recovery_20260724_042157","present"
"flab_qwen25c3b_r4_pruned_evalhalf_20260723_204756","r4_half","results/evidence/r4_half/flab_qwen25c3b_r4_pruned_evalhalf_20260723_204756","present"
"flabpruner_qwen25c15b_official_keep80_20260730_015031","r4_half","results/evidence/r4_half/flabpruner_qwen25c15b_official_keep80_20260730_015031","present"
"flabpruner_qwen25c3b_official_keep80_gpu_20260728_172449","r4_half","results/evidence/r4_half/flabpruner_qwen25c3b_official_keep80_gpu_20260728_172449","present"
"llmpruner_codellama7b_r4_layerdrop_keep80_full_20260725_182022","r4_half","results/evidence/r4_half/llmpruner_codellama7b_r4_layerdrop_keep80_full_20260725_182022","present"
"llmpruner_qwen25c15b_official_keep80_gpu_20260730_105340","r4_half","results/evidence/r4_half/llmpruner_qwen25c15b_official_keep80_gpu_20260730_105340","present"
"llmpruner_qwen25c3b_official_keep80_20260729_061042","r4_half","results/evidence/r4_half/llmpruner_qwen25c3b_official_keep80_20260729_061042","present"
"pilot_keep80_official_all_20260727_174732","r4_half","results/evidence/r4_half/pilot_keep80_official_all_20260727_174732","present"
"qwen25c15b_official_evalhalf_20260729_172949","r4_half","results/evidence/r4_half/qwen25c15b_official_evalhalf_20260729_172949","present"
"qwen25c3b_official_evalhalf_20260727_135521","r4_half","results/evidence/r4_half/qwen25c3b_official_evalhalf_20260727_135521","present"
"qwen25c3b_r4_baseline_evalhalf_20260723_193503","r4_half","results/evidence/r4_half/qwen25c3b_r4_baseline_evalhalf_20260723_193503","present"
