method,stage,benchmark,checkpoint,adapter,score_summary,sample_count,pass_count,pass_rate,generation_success_rate,eos_emitted_rate,hit_max_new_tokens_rate,mean_generated_tokens,p95_generated_tokens,repetition_rate,code_extraction_success_rate,python_parse_success_rate,test_execution_success_rate,first_break_stage_inferred
dense_qwen1.5b,S0,humaneval,Qwen/Qwen2.5-Coder-1.5B-Instruct,,results/evidence/r4_half/qwen25c15b_official_evalhalf_20260729_172949/humaneval/score/score_summary.json,82,18,0.21951219512195122,1.0,not_logged,0.08536585365853659,262.9390243902439,512,sample_taxonomy_only,1.0,sample_taxonomy_only,score_only,not_determined; existing full runs only cover S0 and final S6/S7
dense_qwen1.5b,S0,mbpp_evalplus,Qwen/Qwen2.5-Coder-1.5B-Instruct,,results/evidence/r4_half/qwen25c15b_official_evalhalf_20260729_172949/mbpp_evalplus/score/score_summary.json,224,115,0.5133928571428571,1.0,not_logged,0.11160714285714286,196.125,512,sample_taxonomy_only,1.0,sample_taxonomy_only,score_only,not_determined; existing full runs only cover S0 and final S6/S7
dense_qwen1.5b,S0,livecodebench,Qwen/Qwen2.5-Coder-1.5B-Instruct,,results/evidence/r4_half/qwen25c15b_official_evalhalf_20260729_172949/livecodebench/score/score_summary.json,200,28,0.14,1.0,not_logged,0.005,165.765,357,sample_taxonomy_only,0.995,sample_taxonomy_only,score_only,not_determined; existing full runs only cover S0 and final S6/S7
flabpruner,S7,humaneval,results/evidence/r4_half/flabpruner_qwen25c15b_official_keep80_20260730_015031/flabpruner_keep80_merged_v2,,results/evidence/r4_half/flabpruner_qwen25c15b_official_keep80_20260730_015031/eval_v2/humaneval/score/score_summary.json,82,0,0.0,1.0,not_logged,1.0,512,512,sample_taxonomy_only,1.0,sample_taxonomy_only,score_only,not_determined; existing full runs only cover S0 and final S6/S7
flabpruner,S7,mbpp_evalplus,results/evidence/r4_half/flabpruner_qwen25c15b_official_keep80_20260730_015031/flabpruner_keep80_merged_v2,,results/evidence/r4_half/flabpruner_qwen25c15b_official_keep80_20260730_015031/eval_v2/mbpp_evalplus/score/score_summary.json,224,1,0.004464285714285714,1.0,not_logged,1.0,512,512,sample_taxonomy_only,1.0,sample_taxonomy_only,score_only,not_determined; existing full runs only cover S0 and final S6/S7
flabpruner,S7,livecodebench,results/evidence/r4_half/flabpruner_qwen25c15b_official_keep80_20260730_015031/flabpruner_keep80_merged_v2,,results/evidence/r4_half/flabpruner_qwen25c15b_official_keep80_20260730_015031/eval_v2/livecodebench/score/score_summary.json,200,0,0.0,1.0,not_logged,1.0,1024,1024,sample_taxonomy_only,0.135,sample_taxonomy_only,score_only,not_determined; existing full runs only cover S0 and final S6/S7
llmpruner,S6,humaneval,results/evidence/r4_half/llmpruner_qwen25c15b_official_keep80_gpu_20260730_105340/llmpruner_keep80_v3/pruned_model,results/evidence/r4_half/llmpruner_qwen25c15b_official_keep80_gpu_20260730_105340/llmpruner_keep80_lora_v3/lora_adapter,results/evidence/r4_half/llmpruner_qwen25c15b_official_keep80_gpu_20260730_105340/eval_v3/humaneval/score/score_summary.json,82,2,0.024390243902439025,1.0,not_logged,0.8536585365853658,477.4756097560976,512,sample_taxonomy_only,1.0,sample_taxonomy_only,score_only,not_determined; existing full runs only cover S0 and final S6/S7
llmpruner,S6,mbpp_evalplus,results/evidence/r4_half/llmpruner_qwen25c15b_official_keep80_gpu_20260730_105340/llmpruner_keep80_v3/pruned_model,results/evidence/r4_half/llmpruner_qwen25c15b_official_keep80_gpu_20260730_105340/llmpruner_keep80_lora_v3/lora_adapter,results/evidence/r4_half/llmpruner_qwen25c15b_official_keep80_gpu_20260730_105340/eval_v3/mbpp_evalplus/score/score_summary.json,224,1,0.004464285714285714,1.0,not_logged,0.96875,506.15625,512,sample_taxonomy_only,1.0,sample_taxonomy_only,score_only,not_determined; existing full runs only cover S0 and final S6/S7
llmpruner,S6,livecodebench,results/evidence/r4_half/llmpruner_qwen25c15b_official_keep80_gpu_20260730_105340/llmpruner_keep80_v3/pruned_model,results/evidence/r4_half/llmpruner_qwen25c15b_official_keep80_gpu_20260730_105340/llmpruner_keep80_lora_v3/lora_adapter,results/evidence/r4_half/llmpruner_qwen25c15b_official_keep80_gpu_20260730_105340/eval_v3/livecodebench/score/score_summary.json,200,0,0.0,1.0,not_logged,0.29,505.555,1024,sample_taxonomy_only,0.19499999999999995,sample_taxonomy_only,score_only,not_determined; existing full runs only cover S0 and final S6/S7
slicegpt,S6,humaneval,results/evidence/r4_half/slicegpt_qwen25c15b_official_keep80_gpu_20260731_011001/slicegpt_keep80/sliced_model,results/evidence/r4_half/slicegpt_qwen25c15b_official_keep80_gpu_20260731_011001/slicegpt_keep80_lora/lora_adapter,results/evidence/r4_half/slicegpt_qwen25c15b_official_keep80_gpu_20260731_011001/eval/humaneval/score/score_summary.json,82,0,0.0,1.0,not_logged,1.0,512,512,sample_taxonomy_only,1.0,sample_taxonomy_only,score_only,not_determined; existing full runs only cover S0 and final S6/S7
