method,stage,benchmark,sampled_n,category,count,rate
dense_qwen1.5b,S0,humaneval,20,J_or_pass_logic_unknown,12,0.6
dense_qwen1.5b,S0,humaneval,20,F_hit_max,2,0.1
dense_qwen1.5b,S0,humaneval,20,H_syntax_error,4,0.2
dense_qwen1.5b,S0,humaneval,20,E_repetition,2,0.1
dense_qwen1.5b,S0,mbpp_evalplus,20,J_or_pass_logic_unknown,14,0.7
dense_qwen1.5b,S0,mbpp_evalplus,20,E_repetition,1,0.05
dense_qwen1.5b,S0,mbpp_evalplus,20,F_hit_max,3,0.15
dense_qwen1.5b,S0,mbpp_evalplus,20,C_natural_language,2,0.1
dense_qwen1.5b,S0,livecodebench,20,H_syntax_error,19,0.95
dense_qwen1.5b,S0,livecodebench,20,F_hit_max,1,0.05
flabpruner,S7,humaneval,20,F_hit_max,20,1.0
flabpruner,S7,mbpp_evalplus,20,F_hit_max,20,1.0
flabpruner,S7,livecodebench,20,F_hit_max,20,1.0
llmpruner,S6,humaneval,20,F_hit_max,16,0.8
llmpruner,S6,humaneval,20,E_repetition,1,0.05
llmpruner,S6,humaneval,20,H_syntax_error,1,0.05
llmpruner,S6,humaneval,20,J_or_pass_logic_unknown,1,0.05
llmpruner,S6,humaneval,20,D_unclosed_fence,1,0.05
llmpruner,S6,mbpp_evalplus,20,F_hit_max,20,1.0
llmpruner,S6,livecodebench,20,F_hit_max,8,0.4
llmpruner,S6,livecodebench,20,H_syntax_error,12,0.6
slicegpt,S6,humaneval,20,F_hit_max,20,1.0
slicegpt,S6,mbpp_evalplus,20,F_hit_max,20,1.0
slicegpt,S6,livecodebench,20,F_hit_max,18,0.9
slicegpt,S6,livecodebench,20,H_syntax_error,2,0.1
