split_id,dataset,protocol,role,path,task_count,sha256,seed,overlap_policy,source,notes
auxiliary_full_eval_humaneval_eval,humaneval,auxiliary_full_eval,eval,data/benchmarks/auxiliary_full_eval/humaneval/eval.jsonl,164,801a93eedc8f8dc1256eb86b5b17f3b0abdf724bf2447d5cde313a7662f66a22,0,guide_eval_disjoint,local_manifest,
auxiliary_full_eval_humaneval_guide,humaneval,auxiliary_full_eval,guide,data/benchmarks/auxiliary_full_eval/humaneval/guide.jsonl,32,c005d775cffb77fad5a2b6d8b58bfac90b331fad9d9cb535414cf3b287224ce0,0,guide_eval_disjoint,local_manifest,
auxiliary_full_eval_humaneval_heldout_eval,humaneval,auxiliary_full_eval,heldout_eval,data/benchmarks/auxiliary_full_eval/humaneval/heldout_eval.jsonl,132,205dcfb0e86baebe9532de24eadaad98acfd194204d954f40b5c0b52f8878a92,0,protocol_specific,local_manifest,
auxiliary_full_eval_mbpp_eval,mbpp,auxiliary_full_eval,eval,data/benchmarks/auxiliary_full_eval/mbpp/eval.jsonl,257,fcaa924933cf052734d5a7ae079432011c64268b0332e4645efe28f72796362d,0,guide_eval_disjoint,local_manifest,
auxiliary_full_eval_mbpp_guide,mbpp,auxiliary_full_eval,guide,data/benchmarks/auxiliary_full_eval/mbpp/guide.jsonl,32,c6e9a220399432b77be53535d2e8aa614c716adc6843a5bb9d46902e33edd698,0,guide_eval_disjoint,local_manifest,
auxiliary_full_eval_mbpp_heldout_eval,mbpp,auxiliary_full_eval,heldout_eval,data/benchmarks/auxiliary_full_eval/mbpp/heldout_eval.jsonl,225,1fbb986130a0b0aa094dc854e114257524ddd554c93c0186c3435ad5d3dc6f58,0,protocol_specific,local_manifest,
auxiliary_full_eval_mbpp_evalplus_eval,mbpp_evalplus,auxiliary_full_eval,eval,data/benchmarks/auxiliary_full_eval/mbpp_evalplus/eval.jsonl,378,d565b777dcf2d5c04ec2b3ab7f327fb271ee5459539585baff1385ef493cc688,0,guide_eval_disjoint,local_manifest,
r4_half_humaneval_eval,humaneval,r4_half,eval,data/benchmarks/r4_half/humaneval/eval.jsonl,82,6971a73064bdcf417a4a7babafaf9c46c04260289f58e325f93d86e242902870,0,guide_eval_disjoint,local_manifest,
r4_half_humaneval_guide,humaneval,r4_half,guide,data/benchmarks/r4_half/humaneval/guide.jsonl,82,786d8c8f197c8c558073f1575731c8dfc8b657cc68dfcc82c9066ab208655b2c,0,guide_eval_disjoint,local_manifest,
r4_half_livecodebench_eval,livecodebench,r4_half,eval,data/benchmarks/r4_half/livecodebench/eval.jsonl,200,888fda5d93d20d993dd5cb54e209c69652ac6df22c539fbeeeb900c46c5f84a6,0,guide_eval_disjoint,local_manifest,
r4_half_livecodebench_guide,livecodebench,r4_half,guide,data/benchmarks/r4_half/livecodebench/guide.jsonl,200,6ff0ff93e6300c26a144bedbb45b0225781bca300776b7c630f3a26a8d797a0d,0,guide_eval_disjoint,local_manifest,
r4_half_mbpp_evalplus_eval,mbpp_evalplus,r4_half,eval,data/benchmarks/r4_half/mbpp_evalplus/eval.jsonl,224,fbceea9e416955d1d4cf9ddc5d41d87500153429f4783be9403a1ecb9e98fc07,0,guide_eval_disjoint,local_manifest,
r4_half_mbpp_evalplus_guide,mbpp_evalplus,r4_half,guide,data/benchmarks/r4_half/mbpp_evalplus/guide.jsonl,154,15b2981cbd9b2eda27643d8a77433880dbc9a9a41a8081f754960d2a0f115b56,0,guide_eval_disjoint,local_manifest,
smoke_humaneval_eval,humaneval,smoke,eval,data/benchmarks/smoke/humaneval/eval.jsonl,4,b15f41d4dd76246f4db3350701cc6bb98ead6abb39e377563195285c4c223154,0,guide_eval_disjoint,local_manifest,
smoke_humaneval_guide,humaneval,smoke,guide,data/benchmarks/smoke/humaneval/guide.jsonl,4,0d3fe117b93c0e52ad11064ced4552a8f449f738efd44228fd6416747e604e29,0,guide_eval_disjoint,local_manifest,
smoke_livecodebench_eval,livecodebench,smoke,eval,data/benchmarks/smoke/livecodebench/eval.jsonl,4,8cc3b8d6aa98ecd8dd574d0a94c0d41166f9ea9553d9492b45ae1f79565932b1,0,guide_eval_disjoint,local_manifest,
smoke_livecodebench_guide,livecodebench,smoke,guide,data/benchmarks/smoke/livecodebench/guide.jsonl,4,d610fd76a20a0a8dca49a8e1e1855044ccb7db6f27e7f43aa5c36f31770179c7,0,guide_eval_disjoint,local_manifest,
smoke_mbpp_eval,mbpp,smoke,eval,data/benchmarks/smoke/mbpp/eval.jsonl,4,e16c98ec1d6bbdf4a92b3d5bd40ce68f746fa4a35fe9b8c6461058109bee4e99,0,guide_eval_disjoint,local_manifest,
smoke_mbpp_guide,mbpp,smoke,guide,data/benchmarks/smoke/mbpp/guide.jsonl,4,d37125ff3bbee2697e359fde105666df1bcfe19b06192ff937e9b112c038ee0e,0,guide_eval_disjoint,local_manifest,
smoke_mbpp_evalplus_eval,mbpp_evalplus,smoke,eval,data/benchmarks/smoke/mbpp_evalplus/eval.jsonl,4,330c81bcd6f2b60b668666296e140fabf15d8353e7d2344c20ebca44611adeec,0,guide_eval_disjoint,local_manifest,
smoke_swebench_lite_eval,swebench_lite,smoke,eval,data/benchmarks/smoke/swebench_lite/eval.jsonl,4,a743f1f9e1f4c7784446c0cf9fd86c7a8a9033e5fe2750a69c469cf9119009f4,0,guide_eval_disjoint,local_manifest,
smoke_swebench_lite_guide,swebench_lite,smoke,guide,data/benchmarks/smoke/swebench_lite/guide.jsonl,4,6375db5faf6a905d919590a7c2c76d9dfa013a0eb998569726e6022ade27e5f5,0,guide_eval_disjoint,local_manifest,
