run_id,category,method_scope,model,protocol,variant,round,execution_status,validity_status,quality_gate,officiality,result_completeness,evidence_path,metadata_present,summary_present,superseded_by,notes
codellama7b_4bit_probe_20260725_160453,diagnostics,baseline,codellama/CodeLlama-7b-hf,diagnostic,unknown,audit,completed,diagnostic_only,not_applicable,local_official_adapter,not_applicable,results/evidence/diagnostics/codellama7b_4bit_probe_20260725_160453,false,false,,
codellama7b_config_probe_20260722_184306,diagnostics,shared,codellama/CodeLlama-7b-hf,diagnostic,unknown,audit,completed,diagnostic_only,not_applicable,local_official_adapter,not_applicable,results/evidence/diagnostics/codellama7b_config_probe_20260722_184306,true,true,,
codellama7b_snapshot_download_20260722_202939,diagnostics,shared,codellama/CodeLlama-7b-hf,diagnostic,unknown,audit,completed,diagnostic_only,not_applicable,local_official_adapter,not_applicable,results/evidence/diagnostics/codellama7b_snapshot_download_20260722_202939,false,true,,
dsnot_qwen15b_adapter_probe_attempt_20260804_123140,diagnostics,DSnoT,Qwen/Qwen2.5-Coder-1.5B-Instruct,diagnostic,unknown,audit,completed,diagnostic_only,not_applicable,local_official_adapter,not_applicable,results/evidence/diagnostics/dsnot_qwen15b_adapter_probe_attempt_20260804_123140,true,true,,
existing_checkpoint_stage_audit_20260802_194533,diagnostics,shared,unknown,diagnostic,unknown,audit,completed,diagnostic_only,not_applicable,local_official_adapter,complete,results/evidence/diagnostics/existing_checkpoint_stage_audit_20260802_194533,false,true,,
flab_prune_api_audit_20260804_130541,diagnostics,Flab-Pruner,unknown,diagnostic,unknown,audit,blocked,diagnostic_only,not_applicable,local_official_adapter,not_applicable,results/evidence/diagnostics/flab_prune_api_audit_20260804_130541,true,true,,Vendored Qwen2 prune API accepts config/stage target dimensions; no verified external per-channel zs mask interface was found.
flab_pruner_import_probe_20260718_184023,diagnostics,Flab-Pruner,unknown,diagnostic,unknown,audit,completed,diagnostic_only,not_applicable,local_official_adapter,not_applicable,results/evidence/diagnostics/flab_pruner_import_probe_20260718_184023,true,true,,
flab_qwen3b_pruned_load_generate_check_20260721_173111,diagnostics,Flab-Pruner,Qwen/Qwen2.5-Coder-3B-Instruct,diagnostic,unknown,audit,completed,diagnostic_only,not_applicable,local_official_adapter,not_applicable,results/evidence/diagnostics/flab_qwen3b_pruned_load_generate_check_20260721_173111,false,true,,
flap_llama_template_probe_attempt_20260804_123140,diagnostics,FLAP,unknown,diagnostic,llama_template_probe,audit,completed,diagnostic_only,not_applicable,local_official_adapter,not_applicable,results/evidence/diagnostics/flap_llama_template_probe_attempt_20260804_123140,true,true,,
laco_upstream_notebook_probe_attempt_20260804_123140,diagnostics,LaCo,unknown,diagnostic,upstream_notebook_probe,audit,completed,diagnostic_only,not_applicable,local_official_adapter,not_applicable,results/evidence/diagnostics/laco_upstream_notebook_probe_attempt_20260804_123140,true,true,,file_presence_probe; does_not_close_method=true
llmpruner_codellama7b_cpu_load_probe_20260722_201244,diagnostics,LLM-Pruner,codellama/CodeLlama-7b-hf,diagnostic,unknown,audit,completed,diagnostic_only,not_applicable,fallback_non_official,not_applicable,results/evidence/diagnostics/llmpruner_codellama7b_cpu_load_probe_20260722_201244,false,true,,
llmpruner_codellama7b_cpu_load_probe_20260722_222141,diagnostics,LLM-Pruner,codellama/CodeLlama-7b-hf,diagnostic,unknown,audit,completed,diagnostic_only,not_applicable,fallback_non_official,not_applicable,results/evidence/diagnostics/llmpruner_codellama7b_cpu_load_probe_20260722_222141,false,true,,
llmpruner_codellama7b_gpu_offload_humaneval_diag_20260722_232134,diagnostics,LLM-Pruner,codellama/CodeLlama-7b-hf,diagnostic,unknown,audit,completed,diagnostic_only,not_applicable,fallback_non_official,not_applicable,results/evidence/diagnostics/llmpruner_codellama7b_gpu_offload_humaneval_diag_20260722_232134,false,true,,
llmpruner_codellama7b_light_probe_20260722_200734,diagnostics,LLM-Pruner,codellama/CodeLlama-7b-hf,diagnostic,unknown,audit,completed,diagnostic_only,not_applicable,fallback_non_official,not_applicable,results/evidence/diagnostics/llmpruner_codellama7b_light_probe_20260722_200734,false,true,,
llmpruner_codellama7b_snapshot_cpu_load_probe_20260722_222345,diagnostics,LLM-Pruner,codellama/CodeLlama-7b-hf,diagnostic,unknown,audit,completed,diagnostic_only,not_applicable,fallback_non_official,not_applicable,results/evidence/diagnostics/llmpruner_codellama7b_snapshot_cpu_load_probe_20260722_222345,false,true,,
llmpruner_official_codellama_benchguide_probe_20260725_180932,diagnostics,LLM-Pruner,codellama/CodeLlama-7b-hf,diagnostic,unknown,audit,completed,diagnostic_only,not_applicable,fallback_non_official,not_applicable,results/evidence/diagnostics/llmpruner_official_codellama_benchguide_probe_20260725_180932,false,false,,
